epoch,train_loss,train_samples,val_split,val_samples,val_exact_acc,val_cer,val_char_acc,seconds
1,3.5989306387693984,2944,val,367,0.0,1.0,0.0,2.7620861530303955
2,2.8299679963485054,2944,val,367,0.0,0.9215750081353726,0.07842499186462737,2.7630650997161865
3,2.66797049149223,2944,val,367,0.0,0.9153921249593231,0.0846078750406769,2.7364866733551025
4,2.333892962206965,2944,val,367,0.0,0.8076797917344615,0.19232020826553853,2.7413268089294434
5,1.88756481460903,2944,val,367,0.0,0.6999674585095997,0.30003254149040026,2.7246193885803223
6,1.3422062047149823,2944,val,367,0.13896457765667575,0.30816791409046534,0.6918320859095346,2.7521305084228516
7,0.9903769570848217,2944,val,367,0.1907356948228883,0.30751708428246016,0.6924829157175398,2.756786584854126
8,0.8718574928200763,2944,val,367,0.11444141689373297,0.2951513179303612,0.7048486820696388,2.7430551052093506
9,0.8040889462699061,2944,val,367,0.1553133514986376,0.3065408395704523,0.6934591604295477,2.7469842433929443
10,0.7539884694244551,2944,val,367,0.2452316076294278,0.25935567849007485,0.7406443215099252,2.739281177520752
11,0.7178257626035939,2944,val,367,0.26430517711171664,0.24666449723397332,0.7533355027660267,2.775264263153076
12,0.6926340551480002,2944,val,367,0.22888283378746593,0.24991864627399935,0.7500813537260007,2.7451119422912598
13,0.6595162069020064,2944,val,367,0.28337874659400547,0.2352749755938822,0.7647250244061178,2.790919542312622
14,0.633214854027914,2944,val,367,0.2888283378746594,0.23039375203384316,0.7696062479661568,2.72074031829834
15,0.6062578481176625,2944,val,367,0.27520435967302453,0.23462414578587698,0.765375854214123,2.7544758319854736
16,0.5877098441123962,2944,val,367,0.2724795640326976,0.23267165636186138,0.7673283436381386,2.79166316986084
17,0.5676260668298473,2944,val,367,0.2888283378746594,0.23983078424991863,0.7601692157500813,2.7877349853515625
18,0.548142455842184,2944,val,367,0.24795640326975477,0.25122030589000977,0.7487796941099902,2.738797187805176
19,0.5173049400682035,2944,val,367,0.29155313351498635,0.2349495606898796,0.7650504393101204,2.7269797325134277
20,0.4866868963708048,2944,val,367,0.2888283378746594,0.23169541164985355,0.7683045883501465,2.75380539894104
21,0.4564988049476043,2944,val,367,0.31607629427792916,0.22388545395379109,0.7761145460462089,2.7363641262054443
