epoch,train_loss,train_samples,val_split,val_samples,val_exact_acc,val_cer,val_char_acc,seconds
1,3.602161708085433,2944,val,367,0.0,1.0,0.0,3.051884412765503
2,2.834535940833714,2944,val,367,0.0,0.9189716889033518,0.08102831109664821,3.0206072330474854
3,2.6658700445423955,2944,val,367,0.0,0.9189716889033518,0.08102831109664821,3.070010185241699
4,2.418271831844164,2944,val,367,0.0,0.8213472177025708,0.1786527822974292,3.067979097366333
5,2.030415975529215,2944,val,367,0.0,0.7084282460136674,0.2915717539863326,3.071887969970703
6,1.5471388153407886,2944,val,367,0.0,0.49235274975593885,0.5076472502440612,3.0909996032714844
7,1.039718879305798,2944,val,367,0.15803814713896458,0.25219655060201757,0.7478034493979824,3.0832767486572266
8,0.7839225776817488,2944,val,367,0.17166212534059946,0.22844126260982753,0.7715587373901724,3.05511474609375
9,0.6788898499115653,2944,val,367,0.20435967302452315,0.20924178327367393,0.7907582167263261,3.1162712574005127
10,0.6167175134886866,2944,val,367,0.25340599455040874,0.1864627399934917,0.8135372600065083,3.029327392578125
11,0.5727798945229986,2944,val,367,0.18256130790190736,0.21444842173771558,0.7855515782622844,3.0536789894104004
12,0.5300301306921503,2944,val,367,0.22888283378746593,0.2059876342336479,0.794012365766352,3.0641424655914307
13,0.5071015286704769,2944,val,367,0.2506811989100817,0.1854864952814839,0.8145135047185161,3.068410634994507
14,0.48066916867442755,2944,val,367,0.26975476839237056,0.18060527172144483,0.8193947282785552,3.0383479595184326
15,0.45567712576492975,2944,val,367,0.28610354223433243,0.18906605922551253,0.8109339407744874,3.079662322998047
16,0.42630533614884253,2944,val,367,0.3133514986376022,0.16238203709729906,0.837617962902701,3.082395076751709
17,0.39580225944519043,2944,val,367,0.30517711171662126,0.16758867556134072,0.8324113244386593,3.057373523712158
18,0.37581518486790033,2944,val,367,0.3133514986376022,0.17246989912137975,0.8275301008786202,3.0705697536468506
19,0.3550676567398984,2944,val,367,0.33787465940054495,0.15977871786527822,0.8402212821347218,3.061316967010498
20,0.335681711849959,2944,val,367,0.3569482288828338,0.1584770582492678,0.8415229417507322,3.0314388275146484
21,0.30816783982774487,2944,val,367,0.3678474114441417,0.15229417507321835,0.8477058249267817,3.032803535461426
22,0.2912166627204936,2944,val,367,0.34332425068119893,0.1571753986332574,0.8428246013667426,3.0830442905426025
23,0.27163825248894485,2944,val,367,0.37329700272479566,0.1464367068011715,0.8535632931988285,3.0834810733795166
24,0.23144454282263052,2944,val,367,0.4114441416893733,0.13407094044907256,0.8659290595509275,3.1136250495910645
25,0.21015206011741058,2944,val,367,0.39509536784741145,0.1356980149690856,0.8643019850309144,3.06260085105896
26,0.1888076073449591,2944,val,367,0.40599455040871935,0.12951513179303611,0.8704848682069639,3.077960968017578
27,0.17777787343315457,2944,val,367,0.3787465940054496,0.14318255776114547,0.8568174422388546,3.1080312728881836
28,0.16262863625002943,2944,val,367,0.4196185286103542,0.12984054669703873,0.8701594533029613,3.069300413131714
29,0.14072888879024464,2944,val,367,0.3978201634877384,0.1262609827530101,0.8737390172469899,3.044773817062378
30,0.13295279135522636,2944,val,367,0.444141689373297,0.12040351448096323,0.8795964855190368,3.090515613555908
31,0.12653842730366666,2944,val,367,0.43869209809264303,0.1278880572730231,0.8721119427269769,3.0743467807769775
32,0.1293692266487557,2944,val,367,0.44686648501362397,0.1288643019850309,0.8711356980149692,3.0892527103424072
33,0.10709732722329057,2944,val,367,0.4604904632152589,0.1174747803449398,0.8825252196550601,3.0705273151397705
34,0.08794447731064714,2944,val,367,0.44686648501362397,0.1252847380410023,0.8747152619589977,3.061217784881592
35,0.08169525432521882,2944,val,367,0.47411444141689374,0.11259355678490075,0.8874064432150992,3.091248035430908
36,0.05992474010133225,2944,val,367,0.5068119891008175,0.1070615034168565,0.8929384965831435,3.047525405883789
37,0.04479791479104239,2944,val,367,0.5095367847411444,0.10673608851285389,0.8932639114871461,3.047065019607544
38,0.030752464602498905,2944,val,367,0.5068119891008175,0.10218027985681744,0.8978197201431826,3.114083766937256
39,0.023306227856032227,2944,val,367,0.5204359673024523,0.10218027985681744,0.8978197201431826,3.0758519172668457
40,0.016951949295142422,2944,val,367,0.5068119891008175,0.09990237552879921,0.9000976244712008,3.0531857013702393
41,0.011685507250544817,2944,val,367,0.5177111716621253,0.0982753010087862,0.9017246989912138,3.0140206813812256
42,0.008870176252220635,2944,val,367,0.5149863760217984,0.09925154572079402,0.900748454279206,3.0617787837982178
43,0.0067945526224439555,2944,val,367,0.5177111716621253,0.09925154572079402,0.900748454279206,3.044598340988159
44,0.005463531741912922,2944,val,367,0.5177111716621253,0.0979498861047836,0.9020501138952164,3.039036989212036
45,0.004543625537063117,2944,val,367,0.5258855585831063,0.09697364139277578,0.9030263586072242,3.0301036834716797
46,0.004001062927747388,2944,val,367,0.5204359673024523,0.09957696062479661,0.9004230393752034,3.0414512157440186
47,0.0035774058449770446,2944,val,367,0.5286103542234333,0.09664822648877319,0.9033517735112269,3.0726232528686523
48,0.0031654988162462478,2944,val,367,0.5204359673024523,0.09957696062479661,0.9004230393752034,3.0393576622009277
49,0.0028552511155240886,2944,val,367,0.5313351498637602,0.097624471200781,0.902375528799219,3.0373895168304443
50,0.002632085254172916,2944,val,367,0.5231607629427792,0.09860071591278881,0.9013992840872112,3.0483455657958984
51,0.002423707051607578,2944,val,367,0.5313351498637602,0.0979498861047836,0.9020501138952164,3.1126768589019775
52,0.002249880321830025,2944,val,367,0.5286103542234333,0.097624471200781,0.902375528799219,3.109133720397949
53,0.0021100495258629644,2944,val,367,0.5149863760217984,0.09925154572079402,0.900748454279206,3.090785264968872
54,0.0019794236742081525,2944,val,367,0.5177111716621253,0.09957696062479661,0.9004230393752034,3.0607340335845947
55,0.0018598278807273703,2944,val,367,0.5204359673024523,0.10022779043280182,0.8997722095671982,3.119959592819214
56,0.0017562652406606662,2944,val,367,0.5177111716621253,0.10120403514480963,0.8987959648551904,3.051863431930542
57,0.0016751970878154364,2944,val,367,0.5204359673024523,0.09957696062479661,0.9004230393752034,3.0632503032684326
58,0.0015687106237949236,2944,val,367,0.5258855585831063,0.09990237552879921,0.9000976244712008,3.027625799179077
59,0.001495149052377952,2944,val,367,0.5204359673024523,0.10055320533680442,0.8994467946631955,3.0869243144989014
