epoch,train_loss,train_samples,val_split,val_samples,val_exact_acc,val_cer,val_char_acc,seconds
1,3.6127946117649907,2944,val,367,0.0,1.0,0.0,3.015329360961914
2,2.8460896377978115,2944,val,367,0.0,0.9166937845753336,0.08330621542466643,2.7508459091186523
3,2.744821501814801,2944,val,367,0.0,0.9303612105434429,0.0696387894565571,2.7333476543426514
4,2.5733234104902847,2944,val,367,0.0,0.8464041653107712,0.15359583468922877,2.7093214988708496
5,2.3646634920783667,2944,val,367,0.0,0.7865278229742922,0.21347217702570775,2.7028491497039795
6,2.0971115231513977,2944,val,367,0.0,0.7634233647901074,0.23657663520989258,2.7333192825317383
7,1.775245003078295,2944,val,367,0.0,0.6130816791409046,0.3869183208590954,2.698134183883667
8,1.3146610415500144,2944,val,367,0.08991825613079019,0.30003254149040026,0.6999674585095997,2.7484917640686035
9,0.9183357189530912,2944,val,367,0.1553133514986376,0.25968109339407747,0.7403189066059226,2.699361562728882
10,0.7673527883446735,2944,val,367,0.22615803814713897,0.23136999674585096,0.7686300032541491,2.692880392074585
11,0.6825993851475094,2944,val,367,0.24250681198910082,0.20891636836967134,0.7910836316303287,2.732666492462158
12,0.6190810112849526,2944,val,367,0.2506811989100817,0.20436055971363487,0.7956394402863651,2.776883363723755
13,0.5812627362168353,2944,val,367,0.2670299727520436,0.18906605922551253,0.8109339407744874,2.7445223331451416
14,0.5441454668407855,2944,val,367,0.2779291553133515,0.18581191018548648,0.8141880898145135,2.708876848220825
15,0.510580705559772,2944,val,367,0.2452316076294278,0.21021802798568173,0.7897819720143182,2.736318588256836
16,0.47260291032169177,2944,val,367,0.2670299727520436,0.18158151643345266,0.8184184835665473,2.7168827056884766
17,0.4370535884214484,2944,val,367,0.3079019073569482,0.16954116498535632,0.8304588350146437,2.7590694427490234
18,0.40834635301776556,2944,val,367,0.3242506811989101,0.17181906931337454,0.8281809306866255,2.701637029647827
19,0.37880943845147674,2944,val,367,0.31607629427792916,0.16889033517735114,0.8311096648226488,2.7280373573303223
20,0.35088624708030536,2944,val,367,0.2970027247956403,0.17279531402538237,0.8272046859746176,2.7991325855255127
21,0.3411565805258958,2944,val,367,0.34877384196185285,0.15619915392124958,0.8438008460787504,2.738548994064331
22,0.30782499747431796,2944,val,367,0.3678474114441417,0.15880247315327042,0.8411975268467295,2.726156234741211
23,0.277121160665284,2944,val,367,0.3569482288828338,0.15066710055320534,0.8493328994467947,2.7073252201080322
24,0.2472107507612394,2944,val,367,0.37057220708446864,0.1454604620891637,0.8545395379108363,2.7556755542755127
25,0.22933053419641827,2944,val,367,0.3923705722070845,0.1454604620891637,0.8545395379108363,2.7880167961120605
26,0.20471822276063587,2944,val,367,0.4087193460490463,0.14090465343312725,0.8590953465668727,2.7892837524414062
27,0.17954790721768918,2944,val,367,0.3651226158038147,0.14415880247315327,0.8558411975268467,2.737805128097534
28,0.1588258236322714,2944,val,367,0.44686648501362397,0.13374552554506997,0.8662544744549301,2.7121760845184326
29,0.1373405095351779,2944,val,367,0.4141689373297003,0.1392775789131142,0.8607224210868858,2.712270736694336
30,0.12762970040025917,2944,val,367,0.43869209809264303,0.12463390823299707,0.875366091767003,2.746786594390869
31,0.12035612502823705,2944,val,367,0.35967302452316074,0.15945330296127563,0.8405466970387243,2.72209095954895
32,0.11646127506442693,2944,val,367,0.4196185286103542,0.12918971688903352,0.8708102831109665,2.7322537899017334
33,0.1032417152562867,2944,val,367,0.4550408719346049,0.13146762121705174,0.8685323787829482,2.737004518508911
34,0.08153134195700935,2944,val,367,0.4904632152588556,0.11649853563293198,0.883501464367068,2.73078989982605
35,0.057622111280975136,2944,val,367,0.4768392370572207,0.11519687601692158,0.8848031239830785,2.7299671173095703
36,0.039090480371985745,2944,val,367,0.5095367847411444,0.10966482264887732,0.8903351773511227,2.770385503768921
37,0.02965177595615387,2944,val,367,0.4904632152588556,0.11291897168890336,0.8870810283110966,2.721698045730591
38,0.022486478778655113,2944,val,367,0.4768392370572207,0.11389521640091116,0.8861047835990888,2.7554118633270264
39,0.016426345758625994,2944,val,367,0.49591280653950953,0.10901399284087211,0.8909860071591279,2.683657169342041
40,0.012857788819414765,2944,val,367,0.47956403269754766,0.11389521640091116,0.8861047835990888,2.7443976402282715
41,0.010259431948804337,2944,val,367,0.4877384196185286,0.1083631630328669,0.8916368369671331,2.724876880645752
42,0.007946206206131888,2944,val,367,0.4877384196185286,0.11129189716889033,0.8887081028311097,2.719205379486084
43,0.006253226680438156,2944,val,367,0.5013623978201635,0.10868857793686951,0.8913114220631305,2.7480437755584717
44,0.005229014042845886,2944,val,367,0.5068119891008175,0.1083631630328669,0.8916368369671331,2.7597336769104004
45,0.0045488337712848315,2944,val,367,0.49318801089918257,0.11096648226488773,0.8890335177351123,2.7593157291412354
46,0.004044311682936614,2944,val,367,0.49318801089918257,0.11129189716889033,0.8887081028311097,2.7471506595611572
