epoch,train_loss,train_samples,val_split,val_samples,val_exact_acc,val_cer,val_char_acc,seconds
1,3.6148157378901606,2944,val,367,0.0,1.0,0.0,2.9854581356048584
2,2.8462385975796245,2944,val,367,0.0,0.9140904653433127,0.08590953465668727,2.9968907833099365
3,2.748121888741203,2944,val,367,0.0,0.9140904653433127,0.08590953465668727,2.999657392501831
4,2.5742008945216304,2944,val,367,0.0,0.8548649528148389,0.14513504718516113,2.958777666091919
5,2.381925043852433,2944,val,367,0.0,0.7796941099902376,0.22030589000976242,2.977520227432251
6,2.1188344981359397,2944,val,367,0.0,0.7611454604620892,0.2388545395379108,2.9259088039398193
7,1.6895824593046438,2944,val,367,0.0027247956403269754,0.5802147738366418,0.4197852261633582,2.974304676055908
8,1.150561245887176,2944,val,367,0.07901907356948229,0.30719166937845754,0.6928083306215425,2.9418156147003174
9,0.8523509372835574,2944,val,367,0.14986376021798364,0.24275951838594206,0.7572404816140579,2.946378707885742
10,0.7417626549368319,2944,val,367,0.18256130790190736,0.2271396029938171,0.7728603970061829,2.936959981918335
11,0.6521150430907374,2944,val,367,0.23160762942779292,0.19232020826553856,0.8076797917344615,2.964379072189331
12,0.6015303964200227,2944,val,367,0.24250681198910082,0.18841522941750732,0.8115847705824927,2.953427791595459
13,0.5664033261330231,2944,val,367,0.24795640326975477,0.18971688903351774,0.8102831109664823,2.991835355758667
14,0.5226997299038846,2944,val,367,0.2888283378746594,0.16921575008135373,0.8307842499186463,2.9272053241729736
15,0.4903959897549256,2944,val,367,0.28610354223433243,0.17181906931337454,0.8281809306866255,2.9576826095581055
16,0.4544995155023492,2944,val,367,0.2724795640326976,0.16335828180930687,0.8366417181906931,2.9808359146118164
17,0.4311915655498919,2944,val,367,0.31607629427792916,0.15359583468922877,0.8464041653107712,2.967306613922119
18,0.40817759931087494,2944,val,367,0.3024523160762943,0.1669378457533355,0.8330621542466645,2.9823367595672607
19,0.3837351053953171,2944,val,367,0.32697547683923706,0.15554832411324437,0.8444516758867556,2.9541685581207275
20,0.3695281588512918,2944,val,367,0.32697547683923706,0.1568499837292548,0.8431500162707453,2.9766509532928467
21,0.3466557691926542,2944,val,367,0.31607629427792916,0.15945330296127563,0.8405466970387243,2.947404384613037
22,0.3154374066254367,2944,val,367,0.35967302452316074,0.1454604620891637,0.8545395379108363,2.9855563640594482
23,0.2965976106731788,2944,val,367,0.3678474114441417,0.13862674910510903,0.861373250894891,2.93477201461792
24,0.26760002420000406,2944,val,367,0.3651226158038147,0.13634884477709078,0.8636511552229093,2.9570038318634033
25,0.23962072801330817,2944,val,367,0.4032697547683924,0.13179303612105434,0.8682069638789457,3.003424882888794
26,0.21602781343719232,2944,val,367,0.4250681198910082,0.12333224861698666,0.8766677513830133,2.937460422515869
27,0.19091849838909897,2944,val,367,0.4550408719346049,0.12170517409697364,0.8782948259030263,2.93863582611084
28,0.16518905937023784,2944,val,367,0.45776566757493187,0.12495932313699967,0.8750406768630004,2.947899341583252
29,0.15256961013959802,2944,val,367,0.43869209809264303,0.1262609827530101,0.8737390172469899,2.9550862312316895
30,0.13588592345299927,2944,val,367,0.4604904632152589,0.11910185486495281,0.8808981451350472,2.9497969150543213
31,0.13416045142904573,2944,val,367,0.4141689373297003,0.13342011064106737,0.8665798893589326,2.933863401412964
32,0.11792639140849528,2944,val,367,0.4713896457765668,0.11584770582492677,0.8841522941750732,2.9329726696014404
33,0.10054136731702348,2944,val,367,0.48501362397820164,0.11096648226488773,0.8890335177351123,2.9417057037353516
34,0.07842511400256467,2944,val,367,0.5149863760217984,0.10087862024080703,0.8991213797591929,2.9920265674591064
35,0.06721446938488794,2944,val,367,0.5095367847411444,0.10641067360885129,0.8935893263911487,2.982128858566284
36,0.05418730089845865,2944,val,367,0.49591280653950953,0.10543442889684347,0.8945655711031565,2.9457645416259766
37,0.04591701576567214,2944,val,367,0.5449591280653951,0.09371949235274976,0.9062805076472502,3.0004966259002686
38,0.039899570300527244,2944,val,367,0.5204359673024523,0.097624471200781,0.902375528799219,2.9912667274475098
39,0.041812012498469456,2944,val,367,0.5040871934604905,0.1083631630328669,0.8916368369671331,2.9763662815093994
40,0.039656732636301414,2944,val,367,0.5640326975476839,0.09274324764074195,0.9072567523592581,2.935840606689453
41,0.02866866998374462,2944,val,367,0.5340599455040872,0.09371949235274976,0.9062805076472502,2.9668445587158203
42,0.02816896729738168,2944,val,367,0.5449591280653951,0.09437032216075496,0.9056296778392451,2.9447340965270996
43,0.018129366126073444,2944,val,367,0.5885558583106267,0.08395704523267165,0.9160429547673283,2.9268436431884766
44,0.01586387318599483,2944,val,367,0.4550408719346049,0.11649853563293198,0.883501464367068,2.9227564334869385
45,0.03672244049527723,2944,val,367,0.48501362397820164,0.1083631630328669,0.8916368369671331,2.976341962814331
46,0.04247733679316614,2944,val,367,0.5367847411444142,0.09860071591278881,0.9013992840872112,3.026684522628784
47,0.036789963345812714,2944,val,367,0.5395095367847411,0.09925154572079402,0.900748454279206,2.9381043910980225
48,0.03301595981516268,2944,val,367,0.5149863760217984,0.10868857793686951,0.8913114220631305,2.959745407104492
49,0.019479513127842674,2944,val,367,0.5613079019073569,0.09437032216075496,0.9056296778392451,2.965050220489502
50,0.014116982939531621,2944,val,367,0.5967302452316077,0.08721119427269769,0.9127888057273024,3.0231196880340576
51,0.010307146135069754,2944,val,367,0.6049046321525886,0.08395704523267165,0.9160429547673283,2.9400177001953125
52,0.010541018999546119,2944,val,367,0.5776566757493188,0.09176700292873413,0.9082329970712659,2.954401969909668
53,0.01700810460454744,2944,val,367,0.5367847411444142,0.10315652456882525,0.8968434754311747,2.943897247314453
54,0.03819364938965958,2944,val,367,0.4768392370572207,0.11096648226488773,0.8890335177351123,3.0082125663757324
55,0.032357334807191204,2944,val,367,0.5231607629427792,0.09664822648877319,0.9033517735112269,2.925206422805786
56,0.01596512501735402,2944,val,367,0.5776566757493188,0.08981451350471852,0.9101854864952815,2.9304237365722656
57,0.011165464357675417,2944,val,367,0.5449591280653951,0.09339407744874716,0.9066059225512528,2.9381332397460938
58,0.009549563340640263,2944,val,367,0.6049046321525886,0.08232997071265864,0.9176700292873413,2.9892892837524414
59,0.005384796810255427,2944,val,367,0.5776566757493188,0.08460787504067686,0.9153921249593231,2.966020345687866
60,0.005083960516418776,2944,val,367,0.5967302452316077,0.08298080052066385,0.9170191994793362,2.928414821624756
61,0.009948221921070439,2944,val,367,0.6212534059945504,0.08070289619264562,0.9192971038073544,2.9617903232574463
62,0.005224540303258792,2944,val,367,0.6185286103542235,0.08070289619264562,0.9192971038073544,2.953221559524536
63,0.008371272139534678,2944,val,367,0.5776566757493188,0.08330621542466644,0.9166937845753336,3.0143826007843018
64,0.011895114677431791,2944,val,367,0.5449591280653951,0.09729905629677839,0.9027009437032216,2.9502923488616943
65,0.01733796161842411,2944,val,367,0.5694822888283378,0.08948909860071591,0.910510901399284,2.9291014671325684
66,0.013549688100085958,2944,val,367,0.5967302452316077,0.08135372600065083,0.9186462739993492,2.91757869720459
67,0.00634150393307209,2944,val,367,0.6267029972752044,0.07875040676863,0.92124959323137,2.926363468170166
68,0.0027241576817291584,2944,val,367,0.6348773841961853,0.07256752359258054,0.9274324764074194,2.9151854515075684
69,0.0016781082073145587,2944,val,367,0.6267029972752044,0.07517084282460136,0.9248291571753986,2.96166729927063
70,0.0013582676158124661,2944,val,367,0.6348773841961853,0.07094044907256752,0.9290595509274324,2.9569761753082275
71,0.0011646171738191144,2944,val,367,0.6348773841961853,0.07224210868857793,0.9277578913114221,2.996222496032715
72,0.0010782200577365154,2944,val,367,0.6376021798365122,0.07126586397657013,0.9287341360234299,2.966005802154541
73,0.0010320603855095965,2944,val,367,0.6376021798365122,0.07159127888057273,0.9284087211194273,2.9109137058258057
74,0.0009807215449299015,2944,val,367,0.6376021798365122,0.07126586397657013,0.9287341360234299,2.9193387031555176
75,0.0009467256263040168,2944,val,367,0.6430517711171662,0.07061503416856492,0.929384965831435,2.9334311485290527
76,0.0009168935243708446,2944,val,367,0.6485013623978202,0.06898795964855191,0.9310120403514481,2.9620988368988037
77,0.0008907068113330752,2944,val,367,0.6457765667574932,0.06898795964855191,0.9310120403514481,2.931758403778076
78,0.0008629201101544111,2944,val,367,0.6485013623978202,0.06931337455255451,0.9306866254474455,2.9593446254730225
79,0.0008414234528216817,2944,val,367,0.6430517711171662,0.06931337455255451,0.9306866254474455,2.9734578132629395
80,0.0008314550897288743,2944,val,367,0.6457765667574932,0.06898795964855191,0.9310120403514481,2.9789042472839355
81,0.0008076688239310423,2944,val,367,0.6512261580381471,0.0686625447445493,0.9313374552554508,2.9599454402923584
82,0.0007885229918073215,2944,val,367,0.6457765667574932,0.06931337455255451,0.9306866254474455,2.9792733192443848
83,0.0007738849722638564,2944,val,367,0.6430517711171662,0.06931337455255451,0.9306866254474455,2.965459108352661
84,0.0007594576429413712,2944,val,367,0.6457765667574932,0.0683371298405467,0.9316628701594533,2.943952798843384
85,0.0007516364971904651,2944,val,367,0.6348773841961853,0.07094044907256752,0.9290595509274324,2.9304416179656982
86,0.0007383469112581857,2944,val,367,0.6539509536784741,0.06736088512853888,0.9326391148714611,2.982823133468628
87,0.0007201254851205032,2944,val,367,0.6457765667574932,0.0686625447445493,0.9313374552554508,2.9904444217681885
88,0.0007137647556626927,2944,val,367,0.6376021798365122,0.06931337455255451,0.9306866254474455,2.9867355823516846
89,0.00069695697216641,2944,val,367,0.6430517711171662,0.06898795964855191,0.9310120403514481,2.9843876361846924
90,0.0006894671089906732,2944,val,367,0.6376021798365122,0.06931337455255451,0.9306866254474455,2.9551198482513428
91,0.0006818445222249821,2944,val,367,0.6403269754768393,0.0696387894565571,0.9303612105434429,3.0006728172302246
92,0.0006725584313718845,2944,val,367,0.6321525885558583,0.06996420436055971,0.9300357956394403,3.0512855052948
93,0.0006642176500147046,2944,val,367,0.6403269754768393,0.0696387894565571,0.9303612105434429,3.007009267807007
94,0.0006514645039873278,2944,val,367,0.6457765667574932,0.06898795964855191,0.9310120403514481,2.930154800415039
95,0.0006473030358471948,2944,val,367,0.6457765667574932,0.06996420436055971,0.9300357956394403,2.9654581546783447
96,0.0007045123094702949,2944,val,367,0.6348773841961853,0.07126586397657013,0.9287341360234299,2.9431188106536865
