epoch,train_loss,train_samples,val_split,val_samples,val_exact_acc,val_cer,val_char_acc,seconds
1,3.61292550874793,2944,val,367,0.0,1.0,0.0,6.302229166030884
2,2.84848371795986,2944,val,367,0.0,0.92124959323137,0.07875040676862999,6.3318939208984375
3,2.752652303032253,2944,val,367,0.0,0.919622518711357,0.08037748128864297,6.39511251449585
4,2.6028436526008276,2944,val,367,0.0,0.8548649528148389,0.14513504718516113,6.4223480224609375
5,2.3931747830432393,2944,val,367,0.0,0.799869834038399,0.20013016596160105,6.353777647018433
6,2.0827576025672583,2944,val,367,0.0,0.7549625772860397,0.24503742271396034,6.27057409286499
7,1.5859118544537087,2944,val,367,0.005449591280653951,0.5314025382362512,0.46859746176374883,6.3048460483551025
8,1.0551898259183634,2944,val,367,0.11716621253405994,0.31793036121054347,0.6820696387894565,6.389189720153809
9,0.8102027346258578,2944,val,367,0.1553133514986376,0.2352749755938822,0.7647250244061178,6.313634872436523
10,0.6938016634920369,2944,val,367,0.17166212534059946,0.2365766352098926,0.7634233647901074,6.367194890975952
11,0.6136337207711261,2944,val,367,0.25340599455040874,0.18060527172144483,0.8193947282785552,6.297133922576904
12,0.5691962060721024,2944,val,367,0.23705722070844687,0.2245362837617963,0.7754637162382036,6.31034517288208
13,0.5315382610196653,2944,val,367,0.2670299727520436,0.17962902700943703,0.8203709729905629,6.345851421356201
14,0.4901388663312663,2944,val,367,0.2888283378746594,0.16889033517735114,0.8311096648226488,6.360872268676758
15,0.45234376127305237,2944,val,367,0.29155313351498635,0.1584770582492678,0.8415229417507322,6.349945068359375
16,0.4185227686944215,2944,val,367,0.2970027247956403,0.15880247315327042,0.8411975268467295,6.332689046859741
17,0.3958091690488484,2944,val,367,0.31607629427792916,0.15554832411324437,0.8444516758867556,6.324949026107788
18,0.37586817404498224,2944,val,367,0.32697547683923706,0.15294500488122356,0.8470549951187765,6.3662004470825195
19,0.3475115875835004,2944,val,367,0.35149863760217986,0.13960299381711683,0.8603970061828832,6.374613046646118
20,0.32876620927582617,2944,val,367,0.3542234332425068,0.1383013342011064,0.8616986657988936,6.345593690872192
21,0.3054313455586848,2944,val,367,0.3869209809264305,0.12951513179303611,0.8704848682069639,6.262347459793091
22,0.28026089104621305,2944,val,367,0.3678474114441417,0.13276928083306216,0.8672307191669378,6.3819191455841064
23,0.27492701683355414,2944,val,367,0.3814713896457766,0.1269118125610153,0.8730881874389846,6.3511176109313965
24,0.24185394268968832,2944,val,367,0.4141689373297003,0.12430849332899446,0.8756915066710056,6.36949348449707
25,0.22166202314521954,2944,val,367,0.4032697547683924,0.12105434428896844,0.8789456557110316,6.342483043670654
26,0.20403588239265524,2944,val,367,0.43869209809264303,0.11422063130491376,0.8857793686950862,6.355953693389893
27,0.1875464002723279,2944,val,367,0.4332425068119891,0.1171493654409372,0.8828506345590628,6.293042898178101
28,0.15966257971266043,2944,val,367,0.4659400544959128,0.10641067360885129,0.8935893263911487,6.354373216629028
29,0.13675812664239304,2944,val,367,0.45776566757493187,0.11194272697689554,0.8880572730231044,6.3331286907196045
30,0.1196577079270197,2944,val,367,0.5040871934604905,0.10413276928083307,0.895867230719167,6.368065595626831
31,0.10576845786493758,2944,val,367,0.5095367847411444,0.10185486495281484,0.8981451350471852,6.276695966720581
32,0.09915554021363673,2944,val,367,0.5340599455040872,0.0982753010087862,0.9017246989912138,6.322767019271851
33,0.08660979909093483,2944,val,367,0.5286103542234333,0.09860071591278881,0.9013992840872112,6.270025730133057
34,0.07405578758081664,2944,val,367,0.547683923705722,0.09664822648877319,0.9033517735112269,6.367113351821899
35,0.0607775445703579,2944,val,367,0.5340599455040872,0.09111617312072894,0.908883826879271,6.301142454147339
36,0.05346362778674001,2944,val,367,0.5504087193460491,0.09274324764074195,0.9072567523592581,6.436559677124023
37,0.06570557618270749,2944,val,367,0.5286103542234333,0.097624471200781,0.902375528799219,6.327409982681274
38,0.07143226087741229,2944,val,367,0.5313351498637602,0.09469573706475756,0.9053042629352425,6.426307916641235
39,0.06517232120361018,2944,val,367,0.547683923705722,0.09729905629677839,0.9027009437032216,6.2820048332214355
40,0.04708741714611002,2944,val,367,0.5912806539509536,0.08623494956068987,0.9137650504393101,6.417795419692993
41,0.031691703783429184,2944,val,367,0.5858310626702997,0.08395704523267165,0.9160429547673283,6.330549716949463
42,0.021318921434652548,2944,val,367,0.5994550408719346,0.08135372600065083,0.9186462739993492,6.381335258483887
43,0.017096459278431925,2944,val,367,0.6049046321525886,0.08005206638464042,0.9199479336153595,6.341342210769653
44,0.015351133866478567,2944,val,367,0.6103542234332425,0.07549625772860397,0.924503742271396,6.446691989898682
45,0.017471875074198066,2944,val,367,0.5640326975476839,0.09274324764074195,0.9072567523592581,6.354374170303345
46,0.021032018991916077,2944,val,367,0.5912806539509536,0.08200455580865604,0.9179954441913439,6.412401914596558
47,0.02090007014086713,2944,val,367,0.5858310626702997,0.07777416205662219,0.9222258379433779,6.292336940765381
48,0.021541285996689745,2944,val,367,0.5803814713896458,0.09664822648877319,0.9033517735112269,6.330681800842285
49,0.021540722769239674,2944,val,367,0.5858310626702997,0.08428246013667426,0.9157175398633257,6.314743518829346
50,0.025765979480322287,2944,val,367,0.5776566757493188,0.08558411975268468,0.9144158802473153,6.355799674987793
51,0.021458708681166172,2944,val,367,0.5776566757493188,0.08298080052066385,0.9170191994793362,6.436388969421387
52,0.014420528713937687,2944,val,367,0.6021798365122616,0.07940123657663521,0.9205987634233648,6.357240438461304
53,0.01168986398767194,2944,val,367,0.6239782016348774,0.07712333224861699,0.922876667751383,6.323470830917358
54,0.008803882717114428,2944,val,367,0.5994550408719346,0.07582167263260657,0.9241783273673935,6.342076539993286
55,0.007051281337423817,2944,val,367,0.5940054495912807,0.08070289619264562,0.9192971038073544,6.344671726226807
56,0.00733036653685343,2944,val,367,0.6403269754768393,0.07419459811259356,0.9258054018874065,6.359105825424194
57,0.005384863850296191,2944,val,367,0.6185286103542235,0.07777416205662219,0.9222258379433779,6.358898162841797
58,0.006486034754704198,2944,val,367,0.6376021798365122,0.07582167263260657,0.9241783273673935,6.345515012741089
59,0.00703003349126843,2944,val,367,0.6239782016348774,0.07940123657663521,0.9205987634233648,6.328988552093506
60,0.011043359434394084,2944,val,367,0.6021798365122616,0.08005206638464042,0.9199479336153595,6.3592140674591064
61,0.013407982814976054,2944,val,367,0.5776566757493188,0.08656036446469248,0.9134396355353075,6.3427574634552
62,0.02111090632641445,2944,val,367,0.5422343324250681,0.09534656687276277,0.9046534331272372,6.362977504730225
63,0.0243067749897423,2944,val,367,0.5940054495912807,0.07940123657663521,0.9205987634233648,6.344179630279541
64,0.018227838708654694,2944,val,367,0.6185286103542235,0.07712333224861699,0.922876667751383,6.3464436531066895
65,0.01365196719036802,2944,val,367,0.6158038147138964,0.07712333224861699,0.922876667751383,6.337199449539185
66,0.006834182771854103,2944,val,367,0.662125340599455,0.07061503416856492,0.929384965831435,6.350475788116455
67,0.002761685329934825,2944,val,367,0.6784741144414169,0.06475756589651806,0.935242434103482,6.281848669052124
68,0.0016865505933073227,2944,val,367,0.6811989100817438,0.06313049137650505,0.9368695086234949,6.269967079162598
69,0.001505408279152344,2944,val,367,0.6784741144414169,0.06280507647250244,0.9371949235274976,6.330960750579834
70,0.0013462738450312906,2944,val,367,0.6730245231607629,0.06443215099251545,0.9355678490074846,6.402652263641357
71,0.0012538899951007056,2944,val,367,0.670299727520436,0.06378132118451026,0.9362186788154897,6.2758893966674805
72,0.0012075262974299815,2944,val,367,0.670299727520436,0.06475756589651806,0.935242434103482,6.355738878250122
73,0.0010662377968875935,2944,val,367,0.6811989100817438,0.062479661568499836,0.9375203384315002,6.271083831787109
74,0.0010194182041627557,2944,val,367,0.6784741144414169,0.06345590628050765,0.9365440937194923,6.333012580871582
75,0.0009854964712007052,2944,val,367,0.6784741144414169,0.06378132118451026,0.9362186788154897,6.283669471740723
76,0.0009531393437140176,2944,val,367,0.6811989100817438,0.06182883176049463,0.9381711682395054,6.381677150726318
77,0.0009223501521932042,2944,val,367,0.6757493188010899,0.06410673608851285,0.9358932639114872,6.331827163696289
78,0.0008982229767792413,2944,val,367,0.6811989100817438,0.06443215099251545,0.9355678490074846,6.368038654327393
