method,chapter,psnr_mean,ssim_mean,exact_acc,cer,samples
clean,upper bound (ground truth),inf,1.0,0.5940054495912807,0.08416050343843258,367
rl_deblur_restore,Deep-learning restoration (comparison),22.42088681297761,0.8309399272626274,0.444141689373297,0.16079538082262876,367
wavelet_denoise,3.5 Wavelet denoising,22.12616208023653,0.7766478875918398,0.3542234332425068,0.2327591799662644,367
wiener_restore_true_psf,3.1/3.4/3.6 Restoration & MMSE filtering,21.508349997256133,0.7885918613745024,0.33787465940054495,0.2349487478915272,367
degraded,lower bound (no restoration),21.486473486578735,0.7592963982562015,0.3542234332425068,0.23350525496302066,367
bilateral_denoise,2.2 Nonlinear filtering,21.43965933554865,0.7451927299584251,0.30517711171662126,0.266008174386921,367
median_denoise,2.2 Nonlinear filtering,21.05893973295182,0.7457409489692285,0.3215258855585831,0.2620507330997794,367
homomorphic,2.5 / 3.1 Restoration model,13.869674606589477,0.6077919531804631,0.20708446866485014,0.3046256649798884,367
